date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:39:02	319392/319392	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:10%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-07.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/home-07.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:03	236958/236958	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:10%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-08.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/home-08.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:03	255102/255102	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:10%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-09.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/home-09.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:03	199958/199958	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:10%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-10.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/home-10.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:03	231678/231678	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:12%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-11.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/home-11.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:04	247378/247378	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:12%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-12.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/home-12.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:04	284288/284288	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:12%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-13.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/home-13.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:04	230423/230423	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:12%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-14.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/home-14.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:05	186927/186927	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:12%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-15.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/home-15.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:05	230926/230926	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:12%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-16.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/home-16.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:05	233961/233961	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:12%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-17.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/home-17.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:05	245296/245296	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:12%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-18.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/home-18.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:05	212/212	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Nov%202023%2010:39:05%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/store.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/store.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:06	250202/250202	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:16%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/shop-layout-v1.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/shop/shop-layout-v1.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:06	247554/247554	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:16%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/shop-layout-v2.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/shop/shop-layout-v2.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
